,IdA,TemaA,DescripcionA,EstadoA
0,A00000001,Eius ex facilis dolorem sunt tenetur dicta.,Nisi harum ex impedit tempora ex.,Inactivo
1,A00000002,Beatae unde libero harum.,Distinctio possimus perspiciatis dolore commodi qui quidem.,Activo
2,A00000003,Ab consequuntur incidunt neque molestiae.,Accusamus delectus expedita sunt.,Activo
3,A00000004,Sint recusandae distinctio nemo aspernatur dolorum.,Nulla autem modi non quibusdam illo.,Activo
4,A00000005,Eveniet eligendi soluta sequi.,Tenetur eveniet ex magni.,Inactivo
5,A00000006,Minus eius voluptatem magni itaque libero quo.,Iusto assumenda debitis.,Activo
6,A00000007,Et officia adipisci modi ea architecto eligendi perspiciatis.,Laudantium facilis rem numquam dolore aut necessitatibus.,Inactivo
7,A00000008,Repellendus nam laboriosam nulla iusto consectetur accusamus.,Ex at sunt quibusdam distinctio.,Activo
8,A00000009,Quae consectetur alias animi consequuntur quas.,Et dolore ducimus error qui.,Activo
9,A00000010,Mollitia recusandae ea exercitationem.,Voluptatum quaerat nisi totam.,Inactivo
10,A00000011,Accusantium totam alias quaerat.,Distinctio doloribus aliquid odit.,Inactivo
11,A00000012,Veritatis praesentium natus praesentium repellendus atque et.,Veritatis maxime eius fuga laudantium enim.,Inactivo
12,A00000013,Dicta pariatur dignissimos totam laborum tempore.,Sit illo numquam repellendus.,Activo
13,A00000014,Eveniet praesentium debitis accusamus ratione assumenda amet omnis.,Rem eius aut tempora eum.,Activo
14,A00000015,Libero dolor aperiam vero.,Esse itaque autem explicabo tempora nulla perferendis enim.,Inactivo
15,A00000016,Commodi veniam maiores omnis enim at alias ex.,Adipisci modi aut.,Activo
16,A00000017,Necessitatibus dolor nobis voluptate.,Nam dolores delectus adipisci maiores.,Activo
17,A00000018,Hic deleniti unde.,Non sequi quod.,Activo
18,A00000019,Quaerat voluptatibus nostrum amet quas.,Cupiditate deleniti libero deserunt.,Activo
19,A00000020,Vero ullam recusandae maxime.,Velit excepturi possimus.,Activo
20,A00000021,Odit iste nulla unde ipsam ipsa accusamus.,Id consequatur eius perspiciatis et ea nesciunt.,Activo
21,A00000022,Numquam corporis placeat nesciunt modi quisquam.,Eos aspernatur ut iure.,Inactivo
22,A00000023,A quibusdam natus doloribus ipsam libero ratione.,Unde molestias sequi.,Activo
23,A00000024,Ipsum necessitatibus cumque iusto ullam.,Mollitia labore alias aut laboriosam.,Inactivo
24,A00000025,Ullam ut autem sequi accusamus.,Sapiente quisquam minima hic ab molestiae.,Activo
25,A00000026,Autem explicabo necessitatibus maiores in accusantium quidem doloribus.,Repudiandae voluptatibus facere cumque dolorem repellat pariatur assumenda.,Activo
26,A00000027,Nisi molestiae quo.,Soluta ipsam animi eaque facilis aut.,Inactivo
27,A00000028,Sapiente odio perspiciatis.,Molestias labore tempora.,Inactivo
28,A00000029,Harum quibusdam dolor dolore fuga dignissimos.,Eos iusto ab nemo libero beatae dolorem.,Activo
29,A00000030,Eligendi odit vitae accusamus.,Dolorem accusantium dolore quidem.,Activo
30,A00000031,Sunt explicabo numquam qui.,Ipsam ad perspiciatis voluptate quidem quia doloremque.,Inactivo
31,A00000032,Minima quisquam vitae iusto.,Cupiditate non harum reiciendis nemo earum quae.,Activo
32,A00000033,Natus voluptatem molestiae facere reiciendis.,Minus autem odit.,Inactivo
33,A00000034,Rerum tempore est atque officia provident aspernatur ut.,Dolorum omnis ab ratione delectus sed aperiam.,Activo
34,A00000035,A voluptatibus quod praesentium consectetur quaerat.,At pariatur dignissimos facere iusto rerum repellendus.,Inactivo
35,A00000036,Maiores laudantium voluptatem quos molestias iusto magnam.,Modi voluptatibus ex minus alias dolor est.,Inactivo
36,A00000037,Aliquid libero impedit cumque officiis autem.,In totam itaque atque repellendus veritatis modi culpa.,Inactivo
37,A00000038,Modi nihil nostrum labore eveniet explicabo similique.,Exercitationem quasi voluptas repellendus fugiat possimus.,Activo
38,A00000039,Recusandae vel aperiam quisquam perspiciatis non.,Nesciunt molestias error tempore quas.,Activo
39,A00000040,Voluptatum expedita praesentium autem vitae.,Beatae hic odit voluptatem reprehenderit distinctio.,Activo
40,A00000041,Minima accusantium blanditiis voluptate iusto autem.,Voluptatem dolorum nisi inventore.,Activo
41,A00000042,Eos deserunt impedit odio unde explicabo at praesentium.,Animi esse temporibus maxime.,Inactivo
42,A00000043,Quidem neque expedita incidunt error sint ea.,Totam assumenda soluta impedit.,Activo
43,A00000044,Aspernatur nam aperiam quod.,Facilis quisquam soluta molestiae maxime at iusto.,Inactivo
44,A00000045,Repellat ipsum temporibus ea.,Ipsam libero quisquam nemo sint.,Inactivo
45,A00000046,Magni dicta tempore magni tempora cumque repellat.,Sequi mollitia culpa voluptatem maxime explicabo magni.,Inactivo
46,A00000047,Sed ipsam quos veritatis incidunt in dolorum.,Magnam deleniti inventore.,Inactivo
47,A00000048,Itaque sunt quibusdam voluptatem assumenda.,Voluptas facilis ab expedita.,Activo
48,A00000049,Vitae molestiae temporibus quo.,Libero magni cum consectetur expedita harum.,Activo
49,A00000050,Unde illum nostrum asperiores debitis dignissimos quasi.,Suscipit magni nisi dolor impedit praesentium dolores vel.,Activo
50,A00000051,Voluptatibus ex sequi ducimus non.,Dolorem illo tempora at.,Inactivo
51,A00000052,Aliquid hic modi dignissimos amet delectus.,Minima temporibus eum consequuntur.,Inactivo
52,A00000053,Illo similique dignissimos quasi inventore numquam incidunt.,Itaque pariatur illum quo totam fugit.,Activo
