,IdAu,NumAu,EstadoAu
0,Au00000001,C-3647,Disponible
1,Au00000002,Patio,Disponible
2,Au00000003,Salon Interactivo,Ocupado
3,Au00000004,A-7215,Ocupado
4,Au00000005,B-1545,Mantenimiento
5,Au00000006,A-6863,Disponible
6,Au00000007,Patio,Disponible
7,Au00000008,Coliseo,Ocupado
8,Au00000009,C-1910,Ocupado
9,Au00000010,Patio,Disponible
10,Au00000011,A-8691,Ocupado
11,Au00000012,Patio,Disponible
12,Au00000013,Patio,Mantenimiento
13,Au00000014,C-1191,Ocupado
14,Au00000015,C-6748,Disponible
15,Au00000016,Salon Interactivo,Mantenimiento
16,Au00000017,Salon Interactivo,Ocupado
17,Au00000018,A-4060,Mantenimiento
18,Au00000019,D-3541,Disponible
19,Au00000020,Coliseo,Disponible
20,Au00000021,Salon Interactivo,Ocupado
21,Au00000022,Salon Interactivo,Disponible
22,Au00000023,D-1927,Disponible
23,Au00000024,Patio,Ocupado
24,Au00000025,Patio,Disponible
25,Au00000026,B-6036,Ocupado
26,Au00000027,C-1589,Disponible
27,Au00000028,B-4928,Ocupado
28,Au00000029,Patio,Disponible
29,Au00000030,B-7112,Mantenimiento
30,Au00000031,D-7111,Ocupado
31,Au00000032,Patio,Disponible
32,Au00000033,A-8201,Ocupado
33,Au00000034,B-6498,Disponible
34,Au00000035,Patio,Mantenimiento
35,Au00000036,Coliseo,Ocupado
36,Au00000037,C-8112,Disponible
37,Au00000038,Coliseo,Mantenimiento
38,Au00000039,B-9941,Mantenimiento
39,Au00000040,B-981,Mantenimiento
40,Au00000041,D-4496,Ocupado
41,Au00000042,Salon Interactivo,Ocupado
42,Au00000043,C-3055,Ocupado
43,Au00000044,Salon Interactivo,Ocupado
44,Au00000045,Patio,Ocupado
45,Au00000046,D-2701,Ocupado
46,Au00000047,Coliseo,Mantenimiento
47,Au00000048,Patio,Disponible
48,Au00000049,Salon Interactivo,Ocupado
49,Au00000050,A-5557,Mantenimiento
50,Au00000051,D-8458,Mantenimiento
51,Au00000052,Coliseo,Mantenimiento
52,Au00000053,Salon Interactivo,Disponible
53,Au00000054,B-5814,Ocupado
54,Au00000055,Coliseo,Ocupado
55,Au00000056,B-7113,Disponible
56,Au00000057,Salon Interactivo,Mantenimiento
57,Au00000058,B-5184,Disponible
58,Au00000059,A-4409,Disponible
59,Au00000060,B-8783,Mantenimiento
60,Au00000061,C-5390,Disponible
61,Au00000062,C-2786,Ocupado
62,Au00000063,Coliseo,Ocupado
