,IdAño,NombreAño,EstadoAño
0,Año00000001,Est doloribus nihil enim ipsum ex suscipit officia.,Inactivo
1,Año00000002,Dolores modi commodi nemo accusamus reiciendis.,Inactivo
2,Año00000003,Commodi praesentium asperiores eveniet provident.,Activo
3,Año00000004,Enim explicabo assumenda error ea ratione.,Activo
4,Año00000005,Quibusdam voluptatem culpa quasi repellat consequuntur repudiandae.,Activo
5,Año00000006,Corporis ducimus error voluptates quas at.,Inactivo
6,Año00000007,Doloremque vero saepe voluptatum magnam nemo.,Inactivo
7,Año00000008,Et quas expedita alias consequuntur cupiditate.,Activo
8,Año00000009,Quos dignissimos veniam occaecati ab a.,Inactivo
9,Año00000010,Veniam qui vero commodi unde aspernatur laudantium veniam.,Activo
10,Año00000011,Perferendis impedit sit ea inventore tenetur officia.,Activo
11,Año00000012,Beatae occaecati voluptas in pariatur error fuga.,Inactivo
12,Año00000013,Error itaque necessitatibus.,Activo
13,Año00000014,Itaque asperiores adipisci molestias sunt quia.,Inactivo
14,Año00000015,Iusto voluptates non architecto.,Activo
15,Año00000016,Ad dolorum incidunt expedita libero dignissimos optio repellendus.,Inactivo
16,Año00000017,Maxime sed maxime illo labore error.,Activo
17,Año00000018,Possimus magnam vel ipsum dignissimos magni aliquam.,Inactivo
18,Año00000019,Ducimus illo ratione accusamus nulla asperiores pariatur.,Inactivo
19,Año00000020,Perferendis ex nulla earum maxime cumque odio quidem.,Inactivo
20,Año00000021,Minima veritatis rem aspernatur earum omnis delectus.,Inactivo
21,Año00000022,Perferendis atque sed consequuntur molestias.,Activo
22,Año00000023,Id corporis cumque.,Inactivo
23,Año00000024,Dolor consequatur facilis enim ipsum.,Inactivo
24,Año00000025,Laborum dolores laborum amet deleniti blanditiis atque.,Activo
25,Año00000026,Ipsam ullam suscipit incidunt.,Activo
26,Año00000027,Inventore saepe beatae incidunt.,Activo
27,Año00000028,Maiores nesciunt harum atque autem omnis laudantium impedit.,Inactivo
28,Año00000029,Aliquam sed dolor aspernatur repudiandae repudiandae est.,Activo
29,Año00000030,Inventore blanditiis fugiat aperiam ea aspernatur.,Activo
30,Año00000031,Animi in quo dicta.,Inactivo
31,Año00000032,Consequatur esse dicta adipisci iste.,Inactivo
32,Año00000033,Dolores in placeat alias.,Inactivo
33,Año00000034,Culpa quisquam mollitia laudantium nam officia sit vero.,Inactivo
34,Año00000035,Corporis odit quaerat ex rerum.,Activo
35,Año00000036,Autem explicabo ex quasi eaque velit cum.,Activo
36,Año00000037,Facere magni quas id molestiae.,Activo
37,Año00000038,Maiores ipsum quibusdam optio porro ea.,Activo
38,Año00000039,Placeat minima provident ut exercitationem autem aut.,Inactivo
39,Año00000040,Unde maxime minima facilis ab sequi pariatur.,Activo
40,Año00000041,Iusto vitae quas recusandae enim.,Activo
41,Año00000042,Error quaerat qui labore autem.,Inactivo
42,Año00000043,Repudiandae voluptates eius mollitia est fugit totam odit.,Activo
43,Año00000044,Illo sint similique quam culpa repudiandae fugiat minima.,Activo
44,Año00000045,Dignissimos voluptate saepe.,Inactivo
45,Año00000046,Ea molestiae fugit minus nemo.,Inactivo
46,Año00000047,Ullam maxime similique rem adipisci exercitationem.,Inactivo
47,Año00000048,Aliquid architecto magnam officia praesentium.,Activo
48,Año00000049,Itaque a sunt labore repellendus eius molestias.,Inactivo
49,Año00000050,Excepturi corporis minima maiores.,Activo
50,Año00000051,Neque neque omnis ut ducimus.,Activo
51,Año00000052,Voluptas vero suscipit neque.,Inactivo
52,Año00000053,Fugiat numquam expedita odit occaecati molestiae.,Inactivo
53,Año00000054,Inventore nobis libero vel excepturi dolor.,Inactivo
54,Año00000055,Delectus eos fugit facere atque sequi facilis.,Activo
55,Año00000056,Quasi aperiam itaque aspernatur consequuntur.,Activo
56,Año00000057,Ex dolorum deserunt itaque eaque.,Inactivo
57,Año00000058,Ipsam corrupti magni consequatur voluptatem facilis.,Inactivo
58,Año00000059,Libero consequatur aspernatur ipsa.,Inactivo
59,Año00000060,Corporis corporis quia ratione.,Inactivo
60,Año00000061,Earum asperiores ipsam animi maxime laboriosam dolor.,Inactivo
61,Año00000062,Omnis tempora quas facilis perferendis.,Inactivo
62,Año00000063,Animi odit cumque sapiente.,Inactivo
63,Año00000064,Dicta possimus ab minus corrupti nihil.,Activo
64,Año00000065,Voluptate sit nisi et repudiandae enim eius.,Inactivo
65,Año00000066,Quisquam officiis doloremque facilis natus earum veritatis repudiandae.,Activo
66,Año00000067,Tempore perferendis architecto voluptas qui.,Activo
67,Año00000068,Animi illo quae ex quibusdam cum recusandae.,Inactivo
68,Año00000069,Quo ducimus id similique cum.,Activo
69,Año00000070,Repellendus perspiciatis rem molestiae excepturi minus voluptates.,Activo
70,Año00000071,Recusandae doloremque quibusdam consequatur.,Activo
71,Año00000072,Vitae in ratione fugiat necessitatibus voluptates optio.,Inactivo
72,Año00000073,Harum sint voluptates incidunt earum saepe eius.,Activo
73,Año00000074,Ab excepturi adipisci praesentium.,Activo
74,Año00000075,Sint error quis deserunt.,Activo
75,Año00000076,Consequatur ullam id ullam blanditiis voluptas iste ut.,Activo
76,Año00000077,Magni temporibus pariatur beatae soluta.,Activo
77,Año00000078,Minus quas accusantium facere.,Inactivo
78,Año00000079,Occaecati perferendis laborum asperiores dicta.,Activo
79,Año00000080,Libero dolorem harum vel.,Activo
80,Año00000081,Eaque corporis praesentium corrupti non.,Inactivo
81,Año00000082,Enim minus a alias corporis officiis.,Inactivo
82,Año00000083,Sequi sunt accusantium iusto fugiat.,Inactivo
83,Año00000084,Odio quae mollitia placeat repellat delectus.,Activo
84,Año00000085,Ab beatae dolores perferendis cum fugiat quas.,Activo
85,Año00000086,Deleniti facilis enim numquam nihil.,Activo
86,Año00000087,Corporis voluptas expedita.,Inactivo
