,IdI,NombreI,TipoEduI,SostenimientoI,AreaI,RegimenI,ModalidadI,JornadaI,EstadoI
0,I00000001,Unidad Educativa José Rodríguez IV,Artistica,Fiscal,Rural,Costa,Semipresencial,Matutina,Inactivo
1,I00000002,Unidad Educativa Andrés Olaya V,Artistica,Municipal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
2,I00000003,Unidad Educativa José Sanabria I,Popular Permanente,Fiscomisional,Rural,Sierra,Semipresencial,Matutina,Activo
3,I00000004,Unidad Educativa Martha Vera IV,Especial,Particular,Urbano,Sierra,Virtual,Matutina,Inactivo
4,I00000005,Unidad Educativa Daniela Posada I,Artistica,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
5,I00000006,Unidad Educativa Jaime Rivera V,Especial,Fiscal,Urbano,Sierra,Virtual,Matutina,Inactivo
6,I00000007,Unidad Educativa Luz Rodríguez IV,Especial,Municipal,Rural,Costa,Presencial,Vespertina,Inactivo
7,I00000008,Unidad Educativa Luis Barbosa V,Popular Permanente,Fiscal,Urbano,Sierra,Presencial,Matutina,Activo
8,I00000009,Unidad Educativa Jorge Salazar I,Ordinaria,Fiscomisional,Urbano,Costa,Virtual,Matutina,Activo
9,I00000010,Unidad Educativa María Vargas IV,Especial,Particular,Urbano,Costa,Presencial,Matutina,Inactivo
10,I00000011,Unidad Educativa Roberto Romero,Especial,Particular,Rural,Sierra,Semipresencial,Matutina,Activo
11,I00000012,Unidad Educativa Fabiola Ortiz VI,Popular Permanente,Fiscomisional,Urbano,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
12,I00000013,Unidad Educativa María Flórez III,Artistica,Fiscomisional,Rural,Sierra,Presencial y SemiPresencial,Matutina,Inactivo
13,I00000014,Unidad Educativa Cristina Ramírez III,Ordinaria,Particular,Urbano,Sierra,Presencial,Matutina,Inactivo
14,I00000015,Unidad Educativa Ana Chávez III,Especial,Municipal,Urbano,Sierra,Semipresencial,Matutina,Activo
15,I00000016,Unidad Educativa Martha Burbano V,Ordinaria,Fiscal,Rural,Costa,Virtual,Matutina,Inactivo
16,I00000017,Unidad Educativa Antonio Ramírez,Artistica,Municipal,Rural,Costa,Presencial,Vespertina,Inactivo
17,I00000018,Unidad Educativa Manuel Bastidas,Popular Permanente,Particular,Rural,Sierra,Semipresencial,Matutina,Activo
18,I00000019,Unidad Educativa Johana Suárez,Especial,Fiscal,Urbano,Sierra,Virtual,Vespertina,Activo
19,I00000020,Unidad Educativa Norbey Barrera II,Especial,Fiscomisional,Rural,Costa,Virtual,Matutina,Inactivo
20,I00000021,Unidad Educativa Camilo Caicedo V,Ordinaria,Particular,Rural,Costa,Presencial,Matutina,Activo
21,I00000022,Unidad Educativa Elena Jaimes III,Artistica,Fiscal,Urbano,Costa,Presencial y SemiPresencial,Matutina,Inactivo
22,I00000023,Unidad Educativa María Ramírez II,Especial,Fiscomisional,Rural,Costa,Presencial,Matutina,Inactivo
