,IdM,NombreM,DescripcionM,EstadoM
0,M00000001,Lenguaje y Comunicación,Ullam laudantium sint esse exercitationem temporibus laudantium.,Activo
1,M00000002,Exploración y Comprensión del mundo natural y social,Voluptates minima alias libero illum porro.,Activo
2,M00000003,Educación SocioEmocional,Quas eius alias sequi quibusdam.,Activo
3,M00000004,Artes,Eligendi dicta quaerat enim id accusantium non.,Inactivo
4,M00000005,Exploración y Comprensión del mundo natural y social,Ipsam odit incidunt vero repellat.,Inactivo
5,M00000006,Pensamiento Matemáico,Officiis laboriosam occaecati id aliquam.,Inactivo
6,M00000007,Educación Fisica,Odit dicta ut illo eveniet.,Inactivo
7,M00000008,Educación Fisica,Molestias odio aut quidem.,Activo
8,M00000009,Pensamiento Matemáico,Quod enim commodi fugit velit.,Inactivo
9,M00000010,Lenguaje y Comunicación,Repudiandae fugit assumenda quo suscipit modi labore eius.,Inactivo
10,M00000011,Educación SocioEmocional,Doloremque aperiam facilis modi nihil dolores.,Activo
11,M00000012,Educación Fisica,Eius minima reiciendis.,Activo
12,M00000013,Educación Fisica,Dolore accusamus tempora quos modi.,Activo
13,M00000014,Pensamiento Matemáico,Alias facere blanditiis saepe deserunt neque.,Activo
14,M00000015,Exploración y Comprensión del mundo natural y social,Aliquid ab eos ut sequi dolorem.,Inactivo
15,M00000016,Exploración y Comprensión del mundo natural y social,Blanditiis aut iste porro.,Activo
16,M00000017,Pensamiento Matemáico,Minima officia pariatur quo.,Activo
17,M00000018,Artes,Cupiditate debitis nostrum.,Activo
18,M00000019,Exploración y Comprensión del mundo natural y social,Unde sapiente commodi similique reiciendis aliquam a.,Inactivo
19,M00000020,Educación Fisica,Corporis eius temporibus.,Activo
20,M00000021,Educación Fisica,Delectus deserunt culpa tempore.,Inactivo
21,M00000022,Exploración y Comprensión del mundo natural y social,Magni explicabo doloremque.,Inactivo
22,M00000023,Artes,Similique eveniet vero molestiae soluta delectus.,Inactivo
23,M00000024,Exploración y Comprensión del mundo natural y social,Sint id fuga placeat fugiat.,Activo
24,M00000025,Educación Fisica,Accusamus maiores quam labore dolorem est.,Activo
25,M00000026,Exploración y Comprensión del mundo natural y social,Velit voluptas ratione totam facilis corrupti repudiandae.,Activo
26,M00000027,Exploración y Comprensión del mundo natural y social,At quod corrupti sapiente aut at.,Inactivo
27,M00000028,Exploración y Comprensión del mundo natural y social,Sit molestias illo nemo tempora dolores saepe.,Activo
28,M00000029,Educación SocioEmocional,Eos totam aliquam nihil.,Inactivo
29,M00000030,Pensamiento Matemáico,Temporibus totam eaque provident.,Inactivo
30,M00000031,Educación SocioEmocional,Consectetur sit quidem a illo.,Inactivo
31,M00000032,Educación SocioEmocional,Eos nobis tenetur adipisci quasi.,Activo
32,M00000033,Educación SocioEmocional,Inventore cumque reprehenderit sed perspiciatis.,Activo
33,M00000034,Pensamiento Matemáico,Blanditiis impedit soluta.,Inactivo
34,M00000035,Educación SocioEmocional,Exercitationem itaque debitis quidem debitis blanditiis beatae quasi.,Activo
35,M00000036,Educación Fisica,Aliquam vero est tempora sint quis quaerat.,Inactivo
36,M00000037,Educación SocioEmocional,Facilis error vel.,Activo
37,M00000038,Educación Fisica,Totam quae soluta libero veritatis.,Inactivo
38,M00000039,Educación Fisica,In ipsum fuga ipsum pariatur error atque corporis.,Inactivo
39,M00000040,Lenguaje y Comunicación,Mollitia iste doloremque ipsam amet.,Inactivo
40,M00000041,Educación SocioEmocional,Sunt eligendi dolorum nam.,Inactivo
41,M00000042,Pensamiento Matemáico,Dicta eius tempora.,Activo
42,M00000043,Educación SocioEmocional,Necessitatibus minima consequuntur.,Activo
43,M00000044,Pensamiento Matemáico,Quis nobis corrupti nihil.,Activo
44,M00000045,Educación SocioEmocional,Mollitia atque quidem vel.,Activo
45,M00000046,Artes,Exercitationem laudantium neque facere quasi ab doloribus.,Inactivo
46,M00000047,Artes,Eaque nobis illo dolorum error iure.,Inactivo
47,M00000048,Artes,Voluptatibus consequatur error repudiandae beatae eius temporibus.,Inactivo
48,M00000049,Educación Fisica,Occaecati magni minus occaecati ipsam perferendis.,Activo
49,M00000050,Lenguaje y Comunicación,Maxime facilis odit laborum possimus ab.,Activo
50,M00000051,Pensamiento Matemáico,Rerum error recusandae perspiciatis repellendus est quam.,Activo
51,M00000052,Exploración y Comprensión del mundo natural y social,Accusamus asperiores possimus voluptatum expedita harum aliquam magnam.,Activo
