,IdRol,DescripcionRol,EstadoRol
0,Rol00000001,Exercitationem sed totam pariatur.,Inactivo
1,Rol00000002,Eos aliquid repellat quidem cupiditate perferendis quae quos.,Inactivo
2,Rol00000003,Corporis ipsum adipisci praesentium.,Activo
3,Rol00000004,Voluptatum laborum ab qui a facere.,Activo
4,Rol00000005,Repellendus officiis voluptatibus.,Activo
5,Rol00000006,Provident quidem nostrum ipsa iusto numquam esse.,Activo
6,Rol00000007,Dolores officia tempora cupiditate.,Activo
7,Rol00000008,Dignissimos minus officia.,Inactivo
8,Rol00000009,Quae ut quisquam totam laboriosam facilis nostrum.,Activo
9,Rol00000010,Alias natus facere nemo et.,Activo
10,Rol00000011,Eveniet provident minima odit inventore pariatur voluptatibus.,Inactivo
11,Rol00000012,Odio dolorem corrupti porro magnam ducimus.,Activo
12,Rol00000013,Optio architecto temporibus quidem nemo.,Inactivo
13,Rol00000014,Placeat eveniet nesciunt id.,Inactivo
14,Rol00000015,Culpa minus provident at atque placeat corporis corporis.,Inactivo
15,Rol00000016,Nostrum rerum nulla qui molestiae.,Activo
16,Rol00000017,Fugit reprehenderit consequuntur beatae voluptatum.,Inactivo
17,Rol00000018,Repellat error earum ratione dolore deserunt magnam pariatur.,Activo
18,Rol00000019,Dicta excepturi ad asperiores.,Inactivo
19,Rol00000020,Libero sit natus saepe eum.,Inactivo
20,Rol00000021,Debitis vitae vitae consequatur a vero.,Inactivo
21,Rol00000022,Adipisci vero laudantium veritatis eum autem ex.,Inactivo
22,Rol00000023,Dicta impedit quam harum distinctio repellendus.,Activo
23,Rol00000024,Laborum neque voluptas in dolor neque sed.,Inactivo
24,Rol00000025,Repellat aut dicta nesciunt reiciendis exercitationem assumenda.,Activo
25,Rol00000026,Reprehenderit vero iste adipisci optio voluptatum.,Activo
26,Rol00000027,Quod veniam qui mollitia amet.,Activo
27,Rol00000028,Explicabo sed minima officiis velit.,Activo
28,Rol00000029,Aut nihil est porro laboriosam accusantium.,Inactivo
29,Rol00000030,Facere consequatur est necessitatibus repudiandae doloribus harum.,Activo
30,Rol00000031,Incidunt perferendis molestias excepturi quisquam corporis.,Inactivo
31,Rol00000032,Id quidem tempora maxime sunt modi officia.,Inactivo
32,Rol00000033,Dolor dolorum at in exercitationem.,Activo
33,Rol00000034,Sunt minima perferendis commodi enim ad.,Inactivo
34,Rol00000035,Beatae provident temporibus ducimus repellat modi atque.,Activo
35,Rol00000036,Nobis fuga sed est distinctio eveniet repudiandae ipsam.,Activo
36,Rol00000037,Doloremque consequatur rem quam qui vero possimus deserunt.,Activo
37,Rol00000038,Vel dolor perspiciatis.,Inactivo
38,Rol00000039,Totam nulla nobis deserunt ipsum culpa.,Inactivo
39,Rol00000040,Nam similique doloremque optio pariatur quo.,Activo
40,Rol00000041,Perferendis at placeat porro.,Inactivo
41,Rol00000042,Quia dignissimos quae sint animi.,Inactivo
42,Rol00000043,Minima quos distinctio.,Inactivo
43,Rol00000044,Quasi fuga voluptate voluptatibus.,Activo
44,Rol00000045,Delectus enim totam.,Activo
45,Rol00000046,Nesciunt quis doloremque facilis repellat magni magni eveniet.,Activo
46,Rol00000047,Eaque unde rem.,Activo
47,Rol00000048,Vel ex ipsum magnam.,Activo
48,Rol00000049,Aperiam tenetur autem hic animi nam.,Activo
49,Rol00000050,Nisi veritatis incidunt.,Inactivo
50,Rol00000051,Eveniet placeat blanditiis vitae suscipit quidem.,Activo
51,Rol00000052,Inventore porro placeat reprehenderit corrupti fuga quibusdam.,Inactivo
52,Rol00000053,Nemo fuga debitis beatae qui eligendi deserunt.,Inactivo
53,Rol00000054,Ipsam a blanditiis minus ipsum.,Inactivo
54,Rol00000055,Voluptatibus repellat reprehenderit itaque.,Activo
55,Rol00000056,Quas ipsum laboriosam laboriosam dolorem corrupti.,Inactivo
56,Rol00000057,Labore alias nemo recusandae ea tenetur atque eaque.,Inactivo
57,Rol00000058,Quo amet odit sapiente suscipit.,Inactivo
58,Rol00000059,Esse suscipit quod nam quisquam pariatur.,Activo
59,Rol00000060,Reiciendis iure veniam excepturi laborum ipsam quaerat totam.,Activo
60,Rol00000061,Facilis sapiente enim magnam tenetur neque.,Inactivo
61,Rol00000062,Ducimus quas laudantium animi quia.,Activo
62,Rol00000063,Quidem nostrum repellendus molestias.,Activo
63,Rol00000064,Tenetur ex qui eligendi.,Activo
64,Rol00000065,Impedit quod officia voluptate.,Inactivo
65,Rol00000066,Repellat explicabo maxime est dolorum asperiores.,Activo
66,Rol00000067,Perspiciatis architecto sunt magni enim molestias deserunt.,Inactivo
67,Rol00000068,Voluptatibus reprehenderit praesentium accusamus fuga libero itaque recusandae.,Activo
68,Rol00000069,Deserunt sed enim labore aut ipsam.,Activo
69,Rol00000070,Similique praesentium in voluptatibus aut necessitatibus nulla iste.,Inactivo
70,Rol00000071,Tempora est distinctio nisi.,Inactivo
71,Rol00000072,Veniam tempora hic beatae perspiciatis rerum.,Inactivo
72,Rol00000073,Fugiat voluptates dicta.,Inactivo
73,Rol00000074,Nisi modi doloremque eaque.,Activo
74,Rol00000075,Aliquam exercitationem et recusandae necessitatibus cum.,Inactivo
75,Rol00000076,Delectus illo debitis.,Inactivo
76,Rol00000077,A eum magnam aut velit vel.,Activo
77,Rol00000078,Veritatis voluptatibus veritatis officia repellat est.,Activo
78,Rol00000079,Odio nam enim nam ad.,Inactivo
79,Rol00000080,Fuga assumenda totam maxime tempora tenetur.,Inactivo
80,Rol00000081,Dolorem praesentium vitae nulla quibusdam maxime.,Activo
81,Rol00000082,Atque doloremque ex.,Inactivo
82,Rol00000083,Consectetur architecto doloremque placeat et.,Activo
83,Rol00000084,Minus repellat similique illo hic.,Activo
84,Rol00000085,Facilis tempore illum laudantium.,Inactivo
85,Rol00000086,Fuga quod labore modi.,Activo
86,Rol00000087,Dolore at accusantium vel.,Inactivo
87,Rol00000088,Repellendus quia ducimus molestiae temporibus numquam vitae.,Activo
88,Rol00000089,Praesentium ullam earum quia deserunt reprehenderit placeat voluptatem.,Inactivo
89,Rol00000090,Enim laborum nemo ipsa occaecati aliquam.,Inactivo
90,Rol00000091,Repellendus adipisci necessitatibus.,Inactivo
91,Rol00000092,Possimus quas animi unde.,Inactivo
92,Rol00000093,Vero a ducimus voluptas.,Inactivo
93,Rol00000094,Consequuntur sunt aliquam quibusdam dolore.,Inactivo
94,Rol00000095,Asperiores sint amet autem nemo soluta dolorem.,Activo
95,Rol00000096,Velit ratione sequi vero rem ipsam fugiat.,Inactivo
96,Rol00000097,Dolorem ipsam ratione ab.,Activo
97,Rol00000098,Alias repellendus distinctio numquam atque at eos.,Activo
98,Rol00000099,Est eveniet voluptate aliquam quidem animi consequuntur.,Inactivo
99,Rol00000100,Corrupti possimus distinctio nihil.,Activo
100,Rol00000101,Possimus alias dolorem.,Activo
101,Rol00000102,Ut eligendi temporibus modi.,Activo
102,Rol00000103,Ducimus quia soluta facilis.,Activo
103,Rol00000104,Aliquam id praesentium illum.,Activo
104,Rol00000105,Nisi nostrum repudiandae est.,Inactivo
105,Rol00000106,Assumenda eaque architecto laborum expedita voluptates.,Activo
106,Rol00000107,Vero eum voluptates distinctio veniam laudantium dignissimos.,Inactivo
107,Rol00000108,Odio asperiores harum repellat enim.,Activo
108,Rol00000109,Voluptatibus distinctio cumque tempora culpa voluptatibus.,Inactivo
109,Rol00000110,Modi similique fugiat eaque.,Inactivo
110,Rol00000111,Rem exercitationem sint reiciendis.,Inactivo
111,Rol00000112,Pariatur quae nesciunt.,Inactivo
112,Rol00000113,Soluta numquam explicabo.,Activo
113,Rol00000114,Explicabo alias deserunt praesentium.,Inactivo
114,Rol00000115,Autem doloremque sapiente illo quis aspernatur.,Activo
115,Rol00000116,Exercitationem perspiciatis earum repellat quod nostrum nobis consequuntur.,Inactivo
116,Rol00000117,Praesentium quis dolor blanditiis nobis libero ipsam earum.,Inactivo
117,Rol00000118,Corporis molestiae tenetur.,Inactivo
118,Rol00000119,Debitis vitae quia molestiae sapiente dolore molestiae temporibus.,Inactivo
119,Rol00000120,Nam quidem quaerat accusantium nobis molestiae ipsum est.,Activo
120,Rol00000121,Ipsum quod atque ut accusamus incidunt magnam.,Inactivo
121,Rol00000122,Assumenda fugiat aperiam error.,Activo
122,Rol00000123,Numquam officiis beatae eaque blanditiis.,Inactivo
123,Rol00000124,Nostrum atque enim ad rerum dolor.,Activo
124,Rol00000125,Error aperiam voluptatum suscipit minus.,Activo
125,Rol00000126,Nam perferendis perspiciatis corporis inventore.,Activo
126,Rol00000127,Cum ex eius laudantium id repellendus.,Inactivo
127,Rol00000128,Doloribus eveniet aliquam.,Activo
128,Rol00000129,Quae suscipit dignissimos dolores ipsum cupiditate.,Inactivo
129,Rol00000130,Ea pariatur nisi facilis repellendus reiciendis temporibus.,Activo
130,Rol00000131,Et excepturi dolorem a omnis.,Inactivo
131,Rol00000132,Ducimus minus nesciunt illo eveniet.,Inactivo
132,Rol00000133,Commodi perspiciatis sapiente.,Activo
133,Rol00000134,Ratione voluptates suscipit temporibus placeat provident odit.,Inactivo
134,Rol00000135,Iusto numquam beatae corrupti qui deserunt incidunt.,Inactivo
135,Rol00000136,Veniam labore ipsum in.,Activo
136,Rol00000137,Libero impedit dolores aut.,Activo
137,Rol00000138,Eligendi libero error sapiente dolorem.,Inactivo
138,Rol00000139,Quisquam nobis porro distinctio suscipit.,Inactivo
139,Rol00000140,Voluptate illo explicabo voluptatum nobis.,Inactivo
140,Rol00000141,Eligendi ratione error commodi quos.,Inactivo
141,Rol00000142,Dolorum hic voluptas laborum iste quasi quidem.,Inactivo
142,Rol00000143,Perspiciatis qui laboriosam quo dolores error.,Inactivo
143,Rol00000144,Sed quos at repellendus.,Activo
144,Rol00000145,Qui distinctio corrupti suscipit nihil.,Activo
145,Rol00000146,Amet magnam eius explicabo ipsa.,Activo
146,Rol00000147,Fugit repellat voluptas architecto eaque minus.,Inactivo
147,Rol00000148,Quam omnis sint.,Activo
148,Rol00000149,Vitae velit facere esse ducimus inventore itaque cupiditate.,Inactivo
149,Rol00000150,Blanditiis atque voluptatem fugiat impedit.,Activo
150,Rol00000151,Aspernatur magni ab.,Activo
151,Rol00000152,Dolores ducimus consequuntur itaque vero.,Activo
152,Rol00000153,Nisi corporis quae incidunt tempora.,Activo
153,Rol00000154,Necessitatibus ipsam tempore quam facilis.,Activo
154,Rol00000155,Maxime ipsa nam reiciendis.,Activo
155,Rol00000156,Labore quo voluptates voluptates laudantium itaque.,Inactivo
156,Rol00000157,Totam eaque iste labore.,Activo
157,Rol00000158,Nobis voluptatum dolores illum voluptatum sit.,Activo
158,Rol00000159,Ea necessitatibus illum explicabo est amet exercitationem.,Activo
